,name,address,district,street,cate1,phone,x,y,카카오 평점,카카오 리뷰,카카오 URL,네이버 평점,네이버 리뷰,네이버 URL,구글 평점,구글 리뷰,구글 URL,lon,lat
0,예가출장연회서비스,부산광역시 강서구 강동동 1243번지,강서구,강동동,출장조리,,374344.158,190669.6698,,,,,,,,,,128.9122823940364,35.20013822355136
1,해수가야밀면,부산광역시 강서구 강동동 1438-3번지 1층 일부,강서구,강동동,냉면집,051 971 2500,375305.4516,190447.9734,0.0,0,https://place.map.kakao.com/851741264#review,,,,,,,128.92278535957038,35.1979738564787
2,신덕뷔페,부산광역시 강서구 강동동 1493-1번지,강서구,강동동,뷔페식,051 972 3100,375394.5161,190585.7326,0.0,0,https://place.map.kakao.com/287916398#review,,,,,,,128.92379209442578,35.19919930441908
3,화전가야밀면칼국수,부산광역시 강서구 녹산동 1327-2번지 1층 1동,강서구,녹산동,냉면집,051 972 1010,371275.7792,180734.014,5.0,2,https://place.map.kakao.com/1788207820#review,4.37,103,https://m.place.naver.com/share?id=1424655776&tabsPath=%2Fhome&appMode=detail,4.1,리뷰 35개,https://goo.gl/maps/VtkeJkXjb7H8u7fT7,128.8765480903984,35.11115862932647
4,텐퍼센트 녹산점,부산광역시 강서구 녹산동 546-53번지 1층,강서구,녹산동,기타,,371834.3799,180853.1793,3.2,30,https://place.map.kakao.com/2091672101#review,4.52,218,https://m.place.naver.com/share?id=1696350622&tabsPath=%2Fhome&appMode=detail,4.4,리뷰 112개,https://goo.gl/maps/GD3UHq2C7L66zRsG9,128.8826968493169,35.11213710533535
5,대저가야밀면,부산광역시 강서구 대저1동 1239 1층 일부,강서구,대저1동,냉면집,051 944 7901,378387.3308,192849.3985,0.0,0,https://place.map.kakao.com/548315881#review,,,,,,,128.95712675517905,35.21906404647073
6,뷔페남분식여,부산광역시 강서구 대저1동 1511-4번지,강서구,대저1동,뷔페식,051 971 6488,378503.1445,192401.5688,0.0,0,https://place.map.kakao.com/1723499906#review,,,,,,,128.9583010670985,35.21500933858712
7,강남식당뷔페,부산광역시 강서구 대저1동 1761-7 1층,강서구,대저1동,뷔페식,051 972 0007,376852.64,191744.4645,,,,4.31,13,https://m.place.naver.com/share?id=1570227617&tabsPath=%2Fhome&appMode=detail,,,,128.94004299225668,35.209381950668906
8,해리스카페 강서점,부산광역시 강서구 대저1동 680-1,강서구,대저1동,기타,051 941 6345,379874.0595,192413.4168,5.0,0,https://place.map.kakao.com/27552329#review,4.35,10,https://m.place.naver.com/share?id=193187378&tabsPath=%2Fhome&appMode=detail,,,,128.97335158350188,35.21487147854548
9,맘스터치,부산광역시 강서구 대저2동 1991-1번지 1층,강서구,대저2동,기타,,378250.0232,188257.5596,4.0,1,https://place.map.kakao.com/27503352#review,,,,,,,128.95462727983855,35.17772413699543
10,문카츠야,부산광역시 강서구 대저2동 2003-2번지 1층,강서구,대저2동,기타,051 832 2300,378238.7821,188285.5471,5.0,4,https://place.map.kakao.com/1851519331#review,4.48,218,https://m.place.naver.com/share?id=1300199951&tabsPath=%2Fhome&appMode=detail,4.1,리뷰 52개,https://goo.gl/maps/gNZ7p2Zv7sC3bUau9,128.95450998773364,35.177978247743035
11,공항가야밀면,부산광역시 강서구 대저2동 2024-4번지 1층,강서구,대저2동,냉면집,051 971 1035,378033.4525,188564.0318,0.0,0,https://place.map.kakao.com/27510730#review,4.15,63,https://m.place.naver.com/share?id=37630438&tabsPath=%2Fhome&appMode=detail,,,,128.95231722335,35.18052327996719
12,노스트로,부산광역시 강서구 대저2동 2080-2,강서구,대저2동,기타,,377794.2996,188409.8802,3.6,24,https://place.map.kakao.com/27533082#review,,,,4.3,리뷰 151개,https://goo.gl/maps/RkFyX16aKWS9K9nN9,128.9496600341825,35.17917695054553
13,이자벨,부산광역시 강서구 대저2동 2102-3,강서구,대저2동,기타,,377811.2103,188277.6412,0.0,46,https://place.map.kakao.com/2019518272#review,4.54,102,https://m.place.naver.com/share?id=1462932088&tabsPath=%2Fhome&appMode=detail,4.7,리뷰 3개,https://goo.gl/maps/o8mGC78qarZBPM4N9,128.9498170994479,35.17798271513297
14,스카이31푸드에비뉴 김해공항국내선3층점,부산광역시 강서구 대저2동 2350,강서구,대저2동,기타,051 710 2532,377192.9664,187698.3491,,,,4.4,157,https://m.place.naver.com/share?id=1467630054&tabsPath=%2Fhome&appMode=detail,,,,128.9429095998309,35.172873383341695
15,에어부산 라운지(AIR BUSAN LOUNGE),부산광역시 강서구 대저2동 2350번지 국제선 격리 3층,강서구,대저2동,기타,051 971 8737,377192.9664,187698.3491,,,,,,,,,,128.9429095998309,35.172873383341695
16,공항한식뷔페,부산광역시 강서구 대저2동 2405-2번지 2층,강서구,대저2동,뷔페식,051 9412525,377619.5906,187985.8223,2.0,1,https://place.map.kakao.com/1567402713#review,4.17,15,https://m.place.naver.com/share?id=1755226987&tabsPath=%2Fhome&appMode=detail,3.5,리뷰 11개,https://goo.gl/maps/u8mdL3LyvH1RLhT28,128.94765193601185,35.17538778559236
17,춘향골 남원추어탕 밀면,부산광역시 강서구 대저2동 2497,강서구,대저2동,냉면집,051 9719414,378171.2638,188143.3562,,,,4.45,254,https://m.place.naver.com/share?id=1826656334&tabsPath=%2Fhome&appMode=detail,4.0,리뷰 57개,https://goo.gl/maps/3A1oLWC9xqyjxiKN7,128.95373851912672,35.17670931911607
18,59쌀피자&수다방,부산광역시 강서구 대저2동 3131-1번지,강서구,대저2동,기타,051 973 5989,377695.4423,187739.783,,,,,,,,,,128.94843119576112,35.17315799415574
19,에어스카이호텔,부산광역시 강서구 대저2동 3148-9번지 에어스카이 관광호텔 2층일부호,강서구,대저2동,뷔페식,051 971 0093,377977.8898,187034.1747,5.0,9,https://place.map.kakao.com/1127335698#review,4.38,60,https://m.place.naver.com/share?id=1548229735&tabsPath=%2Fhome&appMode=detail,4.6,리뷰 187개,https://goo.gl/maps/Gh3HKFoYSdHtpchZ7,128.9513779165345,35.166751740702736
20,아카렌 서부산유통단지점,부산광역시 강서구 대저2동 3150-4번지 104호,강서구,대저2동,기타,,378066.9657,187075.7137,3.5,31,https://place.map.kakao.com/1755207124#review,4.27,246,https://m.place.naver.com/share?id=1205439463&tabsPath=%2Fhome&appMode=detail,3.0,리뷰 2개,https://goo.gl/maps/Zsny6AshxT87hcRA8,128.95236404794684,35.16711017484456
21,가덕횟집,"부산광역시 강서구 대항동 237-1번지 , 237-2",강서구,대항동,기타,051 9717546,366729.9499,169613.6478,5.0,3,https://place.map.kakao.com/16230258#review,4.4,42,https://m.place.naver.com/share?id=16934452&tabsPath=%2Fhome&appMode=detail,,,,128.82447767846108,35.01173618883638
22,라메르,"부산광역시 강서구 대항동 353-3번지 1,2층",강서구,대항동,기타,,367016.1949,169814.1956,1.5,1,https://place.map.kakao.com/1631902225#review,4.07,53,https://m.place.naver.com/share?id=698079333&tabsPath=%2Fhome&appMode=detail,,,,128.82765236359208,35.013495751040985
23,어라우즈로스터리,부산광역시 강서구 명지동 1278-1 B동,강서구,명지동,기타,,375881.2437,180004.0626,3.9,221,https://place.map.kakao.com/1806448595#review,4.4,"1,160",https://m.place.naver.com/share?id=1098252072&tabsPath=%2Fhome&appMode=detail,4.3,리뷰 155개,https://goo.gl/maps/e6iebuLFNJRNFh4t6,128.9268828402561,35.1037899537057
24,왕밀면냉면전문점,부산광역시 강서구 명지동 1341-6,강서구,명지동,냉면집,,375536.0105,180317.5945,5.0,2,https://place.map.kakao.com/1189743356#review,,,,,,,128.92316483509202,35.10667456636343
25,리틀빈후,부산광역시 강서구 명지동 3176-28번지 1층,강서구,명지동,기타,,375325.9752,181172.8832,0.0,17,https://place.map.kakao.com/1403472742#review,4.57,84,https://m.place.naver.com/share?id=1011781204&tabsPath=%2Fhome&appMode=detail,4.2,리뷰 12개,https://goo.gl/maps/JEcq3E53RC3mZkS56,128.92104335933615,35.11441600431964
26,레이어스,부산광역시 강서구 명지동 3183번지,강서구,명지동,기타,,375727.1966,181158.6434,,,,,,,3.9,리뷰 31개,https://goo.gl/maps/PK1vPeFkFroyEpAM9,128.9254390661833,35.114217863975924
27,분식명가,부산광역시 강서구 명지동 3210-9 1층,강서구,명지동,정종/대포집/소주방,,376007.285,180536.884,0.0,0,https://place.map.kakao.com/255707221#review,,,,,,,128.92837766258037,35.108567885642806
28,토리,부산광역시 강서구 명지동 3229-27번지,강서구,명지동,정종/대포집/소주방,,373452.4423,178225.6007,1.0,2,https://place.map.kakao.com/1639508849#review,,,,,,,128.8998862041022,35.08818906006077
29,연푸드,부산광역시 강서구 명지동 3231 영어도시 퀸덤1차 상가(222)동 207호,강서구,명지동,기타,,373002.1416,177917.6231,0.0,0,https://place.map.kakao.com/2088449304#review,,,,,,,128.89488666862604,35.08549188587188
30,엘룬(elune),"부산광역시 강서구 명지동 3237-10번지 오션스퀘어, 6층",강서구,명지동,기타,,373514.4825,177340.0475,0.0,14,https://place.map.kakao.com/888019244#review,,,,4.2,리뷰 108개,https://goo.gl/maps/RL4AyrqBwXBhKrtK9,128.90038093700994,35.0802007277539
31,레전드야구존 부산명지점,부산광역시 강서구 명지동 3237-11,강서구,명지동,기타,051 204 0754,373513.9545,177366.7236,1.0,0,https://place.map.kakao.com/1152096206#review,4.66,16,https://m.place.naver.com/share?id=388734861&tabsPath=%2Fhome&appMode=detail,4.2,리뷰 26개,https://goo.gl/maps/MnjW1LyjTE7P5U5v5,128.9003807293276,35.08044113515082
32,족발쌀롱,부산광역시 강서구 명지동 3237-11 동인빌딩 101호,강서구,명지동,기타,,373513.9545,177366.7236,2.0,13,https://place.map.kakao.com/2065078657#review,,,,,,,128.9003807293276,35.08044113515082
33,봉구비어,부산광역시 강서구 명지동 3237-12번지,강서구,명지동,기타,,373513.4209,177393.4014,0.0,1,https://place.map.kakao.com/19857812#review,,,,,,,128.90038046066255,35.08068155881617
34,츠키토,부산광역시 강서구 명지동 3237-13번지 정우빌딩 104호,강서구,명지동,기타,051 293 7509,373512.8914,177420.0777,0.0,2,https://place.map.kakao.com/1286567004#review,,,,,,,128.90038023664758,35.080921968254614
35,아비드&갤러리,"부산광역시 강서구 명지동 3237-14번지 1층일부, 2층",강서구,명지동,기타,051 206 5435,373512.3577,177446.7578,0.0,2,https://place.map.kakao.com/1200608253#review,,,,,,,128.90037996743123,35.08116241263909
36,브이아이피,부산광역시 강서구 명지동 3237-15 메트로시티 203호,강서구,명지동,기타,,373511.8251,177473.4352,0.0,0,https://place.map.kakao.com/1946485221#review,,,,,,,128.90037970973697,35.08140283250195
37,홍합의 추억,부산광역시 강서구 명지동 3237-15번지 메트로시티 102호,강서구,명지동,정종/대포집/소주방,051 201 5088,373511.8251,177473.4352,0.0,1,https://place.map.kakao.com/522345337#review,,,,,,,128.90037970973697,35.08140283250195
38,스위티(sweety),부산광역시 강서구 명지동 3237-16 302호,강서구,명지동,기타,,373510.8945,177506.3991,,,,,,,,,,128.90037640507472,35.081699953874484
39,맘스터치신명지점,부산광역시 강서구 명지동 3237-16번지,강서구,명지동,기타,,373510.8945,177506.3991,,,,,,,5.0,리뷰 1개,https://goo.gl/maps/R2ag9CKQZyE5fNzf7,128.90037640507472,35.081699953874484
