,name,address,district,street,cate1,phone,x,y,카카오 평점,카카오 리뷰,카카오 URL,네이버 평점,네이버 리뷰,네이버 URL,구글 평점,구글 리뷰,구글 URL,lon,lat
0,포레스트3002,부산광역시 강서구 녹산동 215번지 1층,강서구,녹산동,경양식,051 941 7893,372551.2822,181285.871,3.9,119,https://place.map.kakao.com/1254996268#review,4.41,506,https://m.place.naver.com/share?id=38264733&tabsPath=%2Fhome&appMode=detail,4.2,리뷰 443개,https://goo.gl/maps/wAuzE8xQXhgbvbXr8,128.89064657494345,35.11591264277467
1,화덕애(빠지다),부산광역시 강서구 대저1동 2292-9번지,강서구,대저1동,경양식,051 973 2010,380374.3739,192094.6486,0.0,0,https://place.map.kakao.com/27402755#review,4.44,36,https://m.place.naver.com/share?id=1945444090&tabsPath=%2Fhome&appMode=detail,,,,128.97877352367937,35.21191026476869
2,으나치돈,부산광역시 강서구 대저1동 2342-23,강서구,대저1동,경양식,051 981 9494,380467.4072,192161.2826,0.0,3,https://place.map.kakao.com/1568292518#review,4.74,39,https://m.place.naver.com/share?id=1844392088&tabsPath=%2Fhome&appMode=detail,2.7,리뷰 3개,https://goo.gl/maps/2R9b5TixLWWZK9nTA,128.97980925115323,35.21249379760149
3,찰스돈가스 부대찌개,부산광역시 강서구 대저1동 2720-16번지,강서구,대저1동,경양식,051 972 3397,380204.27,191804.0681,0.0,0,https://place.map.kakao.com/739393514#review,,,,,,,128.97684293297888,35.20932322312446
4,향수,부산광역시 강서구 대저2동 2061-1,강서구,대저2동,경양식,051 9738948,377871.8533,188494.8423,0.0,0,https://place.map.kakao.com/12081489#review,,,,,,,128.95052924555367,35.17992859844664
5,슈마우스,부산광역시 강서구 대저2동 3138-1번지,강서구,대저2동,경양식,051 796 3552,377988.0399,187305.3676,0.0,1,https://place.map.kakao.com/22303645#review,,,,5.0,리뷰 1개,https://goo.gl/maps/nYmdLBnDWP3WvVa58,128.95154769176898,35.169192927902884
6,낭만송백,부산광역시 강서구 대저2동 5963-7번지 1층,강서구,대저2동,경양식,,375934.9669,183321.3285,3.2,92,https://place.map.kakao.com/446891877#review,4.46,471,https://m.place.naver.com/share?id=1526777012&tabsPath=%2Fhome&appMode=detail,4.1,리뷰 106개,https://goo.gl/maps/MpcurGBsLRMjgX8p9,128.92817647903144,35.133664121487634
7,아일랜드아카디아,부산광역시 강서구 대항동 187번지,강서구,대항동,경양식,,366678.6397,169466.9712,3.0,29,https://place.map.kakao.com/1374339398#review,4.25,224,https://m.place.naver.com/share?id=20059725&tabsPath=%2Fhome&appMode=detail,3.8,리뷰 56개,https://goo.gl/maps/Ws4QW1iCmpdpcnNE7,128.8238864536695,35.01042320570005
8,파도소리,부산광역시 강서구 대항동 9-5 파도소리 빌라 101호,강서구,대항동,경양식,,367399.6364,170114.5965,0.0,0,https://place.map.kakao.com/901034659#review,,,,,,,128.83191163198717,35.01613873867294
9,홍익돈까스 부산 명지점,부산광역시 강서구 명지동 2590 107호,강서구,명지동,경양식,051 293 5009,375456.0,179270.0,1.9,53,https://place.map.kakao.com/27433643#review,,,,,,,128.92206596928006,35.0972511949259
10,방코,부산광역시 강서구 명지동 3174-15번지,강서구,명지동,경양식,051 271 2068,375167.1558,181281.3016,4.2,152,https://place.map.kakao.com/1514387406#review,4.42,466,https://m.place.naver.com/share?id=1295493074&tabsPath=%2Fhome&appMode=detail,,,,128.9193250915933,35.11542030503549
11,네오피자,부산광역시 강서구 명지동 3229-27,강서구,명지동,경양식,,373452.4423,178225.6007,0.0,0,https://place.map.kakao.com/938462366#review,,,,,,,128.8998862041022,35.08818906006077
12,달리는피자아저씨,부산광역시 강서구 명지동 3229-28번지 1층 일부,강서구,명지동,경양식,,373470.2852,178225.9613,0.0,1,https://place.map.kakao.com/1597612964#review,,,,,,,128.90008183745283,35.088189241278336
13,비스트로피자 부산명지점,부산광역시 강서구 명지동 3230-11 영어도시 퀸덤1차 상가(116)동 110호,강서구,명지동,경양식,,373016.9812,178139.4072,5.0,0,https://place.map.kakao.com/759202531#review,,,,,,,128.89509556725636,35.08748732933648
