,name,address,district,street,cate1,phone,x,y,카카오 평점,카카오 리뷰,카카오 URL,네이버 평점,네이버 리뷰,네이버 URL,구글 평점,구글 리뷰,구글 URL,lon,lat
0,청정바다횟집,부산광역시 강서구 대저1동 1305-3번지,강서구,대저1동,회집,051 514 1209,379071.6909,192689.619,4.7,2,https://place.map.kakao.com/2076408279#review,4.29,36,https://m.place.naver.com/share?id=1600936019&tabsPath=%2Fhome&appMode=detail,,,,128.9646043575921,35.21750292674957
1,후니스시,부산광역시 강서구 대저2동 3150-6번지 104호,강서구,대저2동,일식,519618285,378105.2758,186960.5548,3.7,8,https://place.map.kakao.com/410929293#review,4.43,163,https://m.place.naver.com/share?id=38259329&tabsPath=%2Fhome&appMode=detail,,,,128.95275949340902,35.16606601027039
2,어장횟집,부산광역시 강서구 대항동 235번지 1층,강서구,대항동,회집,,366722.3808,169570.3675,,,,,,,,,,128.8243861275813,35.0113475159871
3,반야호횟집,부산광역시 강서구 대항동 272번지,강서구,대항동,회집,051 971 7106,366750.8182,169741.3505,3.7,2,https://place.map.kakao.com/529871192#review,3.82,31,https://m.place.naver.com/share?id=84665638&tabsPath=%2Fhome&appMode=detail,3.8,리뷰 10개,https://goo.gl/maps/AuoSen3c56cJcwzQ6,128.8247317706934,35.01288324631387
4,일용횟집,부산광역시 강서구 명지동 1-377,강서구,명지동,횟집,051271 2309,376034.0496,181003.8454,0.0,0,https://place.map.kakao.com/10740468#review,,,,4.5,리뷰 2개,https://goo.gl/maps/KVyijW7rxGa3jA239,128.9287702895566,35.11276983124177
5,지중해횟집,부산광역시 강서구 명지동 1-380,강서구,명지동,횟집,051 2713088,375973.8772,181010.9472,0.0,0,https://place.map.kakao.com/8531555#review,4.39,33,https://m.place.naver.com/share?id=38681535&tabsPath=%2Fhome&appMode=detail,,,,128.92811212249094,35.11284431289293
6,사상횟집,부산광역시 강서구 명지동 1-383,강서구,명지동,횟집,051 271 1929,375992.4212,180958.5203,0.0,0,https://place.map.kakao.com/9808368#review,,,,4.5,리뷰 4개,https://goo.gl/maps/ohx8xoWEAr6VGaqKA,128.92830428428758,35.11236878851409
7,한바다횟집,부산광역시 강서구 명지동 1-446,강서구,명지동,횟집,051 2712594,375984.9905,181026.7355,4.0,3,https://place.map.kakao.com/8628604#review,4.54,94,https://m.place.naver.com/share?id=16663928&tabsPath=%2Fhome&appMode=detail,4.2,리뷰 84개,https://goo.gl/maps/tnFQEkHjVeDpCCiW7,128.92823731287672,35.112984601713386
8,부산명지맛집 조개일번가,부산광역시 강서구 명지동 1532-14번지 1층 일부,강서구,명지동,회집,051 271 1110,375816.1826,179740.7397,2.0,2,https://place.map.kakao.com/633500266#review,4.42,135,https://m.place.naver.com/share?id=1332183283&tabsPath=%2Fhome&appMode=detail,,,,128.9261137876436,35.10142914957411
9,강서횟집,부산광역시 강서구 명지동 1-561,강서구,명지동,횟집,051 271 3464,375983.468,180985.1612,5.0,1,https://place.map.kakao.com/8699457#review,,,,,,,128.92821178948807,35.112610345766264
10,세종횟집,부산광역시 강서구 명지동 1-562,강서구,명지동,횟집,051 271 0781,375982.4479,180978.9996,0.0,0,https://place.map.kakao.com/27430813#review,4.2,27,https://m.place.naver.com/share?id=625723846&tabsPath=%2Fhome&appMode=detail,,,,128.92819929710942,35.11255501711409
11,세산초장,부산광역시 강서구 명지동 1-618,강서구,명지동,횟집,,376058.8615,180984.081,0.0,0,https://place.map.kakao.com/1318940850#review,,,,,,,128.92903810413688,35.112587451090235
12,부광횟집,부산광역시 강서구 명지동 1-661,강서구,명지동,횟집,051 271 0670,376096.1354,181022.9852,5.0,3,https://place.map.kakao.com/12355748#review,4.11,19,https://m.place.naver.com/share?id=16665394&tabsPath=%2Fhome&appMode=detail,,,,128.92945501033842,35.11293140888611
13,금호횟집,부산광역시 강서구 명지동 3207-1번지,강서구,명지동,회집,051 2712221,376105.8545,180665.7934,4.2,4,https://place.map.kakao.com/8802507#review,4.61,61,https://m.place.naver.com/share?id=13583087&tabsPath=%2Fhome&appMode=detail,4.2,리뷰 75개,https://goo.gl/maps/eYbG9xzWueyipMjf6,128.92948563291384,35.10971195357688
14,도찌,부산광역시 강서구 명지동 3230-11번지 영어도시 퀸덤1차 상가(116)동 121호,강서구,명지동,일식,051 293 7999,373016.9812,178139.4072,0.0,0,https://place.map.kakao.com/898548672#review,4.76,60,https://m.place.naver.com/share?id=1100291759&tabsPath=%2Fhome&appMode=detail,,,,128.89509556725636,35.08748732933648
15,야나기야,부산광역시 강서구 명지동 3231번지 영어도시퀸덤1차 링컨 타운 상가동 222호,강서구,명지동,일식,051 202 9654,373002.1416,177917.6231,,,,,,,,,,128.89488666862604,35.08549188587188
16,담락참치일잔 명지점,부산광역시 강서구 명지동 3237-10 104호,강서구,명지동,일식,051 292 3710,373514.4825,177340.0475,5.0,4,https://place.map.kakao.com/2006357869#review,,,,4.2,리뷰 50개,https://goo.gl/maps/aWyN9R9kvAybTHro9,128.90038093700994,35.0802007277539
17,쿠우쿠우 명지오션시티점,부산광역시 강서구 명지동 3238,강서구,명지동,일식,051 205 6274,373495.7945,177766.2244,,,,,,,3.9,리뷰 413개,https://goo.gl/maps/8xPxP6NYrt4R1swy9,128.90026525938418,35.08404323361304
18,꽃마름,부산광역시 강서구 명지동 3238번지,강서구,명지동,일식,,373495.7945,177766.2244,1.5,7,https://place.map.kakao.com/17781819#review,,,,3.7,리뷰 74개,https://goo.gl/maps/A6nnJV2kPkKTjg5BA,128.90026525938418,35.08404323361304
19,손정순찜닭,부산광역시 강서구 명지동 3239-14번지 광명빌딩 105호,강서구,명지동,일식,051 2063573,373592.2668,177702.0837,5.0,2,https://place.map.kakao.com/635526522#review,4.76,58,https://m.place.naver.com/share?id=649324518&tabsPath=%2Fhome&appMode=detail,4.4,리뷰 15개,https://goo.gl/maps/jEBNzA6xhbkgrCsM7,128.90130911863952,35.08344882119848
