,name,address,district,street,cate1,phone,x,y,카카오 평점,카카오 리뷰,카카오 URL,네이버 평점,네이버 리뷰,네이버 URL,구글 평점,구글 리뷰,구글 URL,lon,lat
0,득천가,부산광역시 강서구 강동동 2538-12번지,강서구,강동동,중국식,051 9729994,374935.236,189422.4689,0.0,0,https://place.map.kakao.com/12826475#review,,,,4.1,리뷰 10개,https://goo.gl/maps/sedWVWyVbjpgue2V6,128.91850497597855,35.18880019123504
1,대만원,부산광역시 강서구 강동동 2940-15,강서구,강동동,중국식,9413773,374687.7806,188619.8571,5.0,0,https://place.map.kakao.com/11886944#review,,,,4.3,리뷰 47개,https://goo.gl/maps/MYCumAXkHg2djhsK8,128.9156196998899,35.18161293316234
2,천안문 왕손짜장,부산광역시 강서구 강동동 3256-2,강서구,강동동,중국식,051 9418886,374495.8275,188065.2412,3.3,3,https://place.map.kakao.com/12994468#review,,,,3.8,리뷰 204개,https://goo.gl/maps/K2NKzygWgzur3iT29,128.91339630075254,35.17665001995928
3,강동반점,부산광역시 강서구 강동동 661-330번지,강서구,강동동,중국식,0519739 288,376861.8333,191982.0227,0.0,0,https://place.map.kakao.com/291457208#review,4.25,54,https://m.place.naver.com/share?id=1898830229&tabsPath=%2Fhome&appMode=detail,,,,128.9401948609089,35.21152032325966
4,북경차이나,부산광역시 강서구 구랑동 381-6번지 미음지구s5B 3L,강서구,구랑동,중국식,051 832 5855,369374.1224,183918.3733,3.0,0,https://place.map.kakao.com/24167292#review,4.51,194,https://m.place.naver.com/share?id=35703092&tabsPath=%2Fhome&appMode=detail,3.7,리뷰 34개,https://goo.gl/maps/LRwuDCThA2AwxT2k6,128.8563511645844,35.14016730960002
5,찐차이나,부산광역시 강서구 녹산동 1327-5,강서구,녹산동,중국식,051 972 7595,371326.9796,180735.0551,0.0,0,https://place.map.kakao.com/548164333#review,4.25,18,https://m.place.naver.com/share?id=1074227275&tabsPath=%2Fhome&appMode=detail,,,,128.8771096262472,35.11115930888645
6,돌아온용문각,부산광역시 강서구 녹산동 1328-1번지,강서구,녹산동,중국식,051 941 8006,371190.4448,180732.7336,5.0,2,https://place.map.kakao.com/1609963488#review,4.38,155,https://m.place.naver.com/share?id=1467777276&tabsPath=%2Fhome&appMode=detail,,,,128.87561228665538,35.111161587897904
7,북경,부산광역시 강서구 녹산동 1328-3번지,강서구,녹산동,중국식,,371224.4856,180733.0334,2.0,2,https://place.map.kakao.com/20202194#review,,,,,,,128.8759855451705,35.111158508022385
8,만금정,부산광역시 강서구 녹산동 16-7번지,강서구,녹산동,중국식,51,372709.36,182051.672,,,,,,,,,,128.89253941201073,35.12278441899234
9,삼성반점,부산광역시 강서구 녹산동 546-26번지,강서구,녹산동,중국식,051 9731593,371718.9315,180845.1892,0.0,0,https://place.map.kakao.com/9084310#review,4.02,21,https://m.place.naver.com/share?id=16672136&tabsPath=%2Fhome&appMode=detail,3.5,리뷰 10개,https://goo.gl/maps/qZh8XTKdctRCXAw7A,128.88142949692013,35.11208479559663
10,포춘차이나,"부산광역시 강서구 녹산동 737-3 1층 일부, 2층 일부",강서구,녹산동,중국식,051 941 3450,370621.845,180768.6193,,,,4.29,70,https://m.place.naver.com/share?id=1120881497&tabsPath=%2Fhome&appMode=detail,,,,128.86938598087374,35.11158126316971
11,이가손짜장,부산광역시 강서구 대저1동 1214-1번지,강서구,대저1동,중국식,051 9413300,378085.4061,192791.7581,4.2,0,https://place.map.kakao.com/636259555#review,4.06,103,https://m.place.naver.com/share?id=19498595&tabsPath=%2Fhome&appMode=detail,4.5,리뷰 6개,https://goo.gl/maps/GLDHaJVrsqeaL1Wm9,128.95380001292236,35.218598399609
12,소림성,부산광역시 강서구 대저1동 1655-8번지,강서구,대저1동,중국식,051 973 2277,377635.8942,192242.6988,0.0,0,https://place.map.kakao.com/11556492#review,4.39,19,https://m.place.naver.com/share?id=16655559&tabsPath=%2Fhome&appMode=detail,,,,128.94874731069532,35.21373196421499
13,짜장먹을래짬뽕먹을래,부산광역시 강서구 대저1동 1687-6번지 103호,강서구,대저1동,중국식,051 941 2228,377320.0426,192177.2518,4.7,0,https://place.map.kakao.com/86558061#review,4.46,163,https://m.place.naver.com/share?id=1321557260&tabsPath=%2Fhome&appMode=detail,5.0,리뷰 1개,https://goo.gl/maps/XjABWHLZWC3eaubw6,128.9452662767946,35.21319821290934
