,name,address,district,street,cate1,phone,x,y,카카오 평점,카카오 리뷰,카카오 URL,네이버 평점,네이버 리뷰,네이버 URL,구글 평점,구글 리뷰,구글 URL,lon,lat
0,처갓집양념통닭,부산광역시 강서구 강동동 112-4,강서구,강동동,호프/통닭,051 9721244,376351.931,192621.3502,5.0,0,https://place.map.kakao.com/18917567#review,,,,,,,128.9347348068175,35.21736923157279
1,맥시칸치킨,부산광역시 강서구 강동동 156-4번지 1층 일부,강서구,강동동,호프/통닭,051 973 7766,376241.3728,192755.1437,0.0,0,https://place.map.kakao.com/745922079#review,,,,,,,128.93354981059858,35.2185938927272
2,오뚜기통닭,부산광역시 강서구 강동동 93-3,강서구,강동동,호프/통닭,051 972 6170,376330.8855,192581.8321,0.0,0,https://place.map.kakao.com/9311340#review,,,,,,,128.93449533315027,35.21701693607236
3,국민김밥,부산광역시 강서구 구랑동 1207-8번지,강서구,구랑동,분식,051 9733999,368923.7863,182426.0634,0.0,1,https://place.map.kakao.com/969162993#review,3.99,67,https://m.place.naver.com/share?id=1007528822&tabsPath=%2Fhome&appMode=detail,4.0,리뷰 1개,https://goo.gl/maps/EmRDn3H8vzvbHcyF7,128.85110759827117,35.12679893352401
4,비갠후,부산광역시 강서구 녹산동 1328-2번지,강서구,녹산동,호프/통닭,051 973 1535,371207.5088,180732.6948,0.0,0,https://place.map.kakao.com/1625797053#review,4.48,33,https://m.place.naver.com/share?id=1803142275&tabsPath=%2Fhome&appMode=detail,,,,128.87579935492275,35.11115834074516
5,주연국수정식,부산광역시 강서구 대저1동 1692-7번지 1층,강서구,대저1동,분식,051 972 3992,377369.5987,192264.2784,0.0,0,https://place.map.kakao.com/26179733#review,,,,,,,128.9458289538068,35.21397342006444
6,치킨커플평강역점,부산광역시 강서구 대저1동 1727-2,강서구,대저1동,호프/통닭,051 972 7792,377388.5397,192327.498,0.0,0,https://place.map.kakao.com/1412417075#review,,,,4.5,리뷰 2개,https://goo.gl/maps/V15TmhirYLr5DM4FA,128.94605046633396,35.2145395725921
7,맘스터치 대저점,부산광역시 강서구 대저1동 1749-16번지,강서구,대저1동,분식,,377212.9372,192197.4782,0.0,1,https://place.map.kakao.com/872731688#review,,,,4.1,리뷰 8개,https://goo.gl/maps/CG1F8b97fbd5er9r8,128.94409498565872,35.21339932030701
8,네네치킨 강서구청점,부산광역시 강서구 대저1동 2328,강서구,대저1동,호프/통닭,051 831 4492,380401.209,192049.8391,1.0,0,https://place.map.kakao.com/179798356#review,,,,4.0,리뷰 1개,https://goo.gl/maps/ZGHJqK359dPEypSs5,128.979058261805,35.21150179845671
9,맛나식당,부산광역시 강서구 대저1동 2383-8번지,강서구,대저1동,분식,051 9716366,380489.5093,192462.8736,4.4,68,https://place.map.kakao.com/21425664#review,,,,,,,128.98011788484922,35.2152065763726
10,옛날통닭,부산광역시 강서구 대저1동 2388-13,강서구,대저1동,호프/통닭,,380429.8051,192253.2173,0.0,0,https://place.map.kakao.com/248349124#review,,,,,,,128.97941664786296,35.213328706686184
11,대교식당,부산광역시 강서구 대저2동 1234-1 1동,강서구,대저2동,분식,051 831 3783,378674.7449,190100.6615,0.0,0,https://place.map.kakao.com/514109940#review,4.56,17,https://m.place.naver.com/share?id=1640497792&tabsPath=%2Fhome&appMode=detail,4.0,리뷰 1개,https://goo.gl/maps/DKGihhhid83q1rGr7,128.95968613242607,35.19425182891116
12,처갓집양념치킨 공항점,부산광역시 강서구 대저2동 1557 해성스포렉스2층,강서구,대저2동,호프/통닭,051 971 9282,377732.8641,188880.9093,5.0,0,https://place.map.kakao.com/24972257#review,,,,,,,128.94908737338992,35.183430970851084
13,은마분식,부산광역시 강서구 대저2동 1557번지 2층(해성 스포렉스),강서구,대저2동,분식,051 972 1541,377732.8641,188880.9093,0.0,0,https://place.map.kakao.com/1266447469#review,,,,4.0,리뷰 490개,https://goo.gl/maps/roXc28rfv8uVaQ6U6,128.94908737338992,35.183430970851084
14,피자나라치킨공주 김해공항점,부산광역시 강서구 대저2동 1843-25번지 1층,강서구,대저2동,호프/통닭,051 832 5293,378086.5908,188542.5683,0.0,0,https://place.map.kakao.com/26865899#review,,,,5.0,리뷰 5개,https://goo.gl/maps/CqJjrdEhk3U84hLs5,128.9528956285244,35.18032052230873
15,우리동네꼬마김밥&국수,부산광역시 강서구 대저2동 1933-4번지,강서구,대저2동,분식,,378203.476,188460.2043,5.0,2,https://place.map.kakao.com/1850418742#review,4.59,123,https://m.place.naver.com/share?id=1120840611&tabsPath=%2Fhome&appMode=detail,,,,128.95416031511616,35.17955786068903
16,구이오감,부산광역시 강서구 대저2동 1933-4번지,강서구,대저2동,통닭(치킨),051 972 9282,378203.476,188460.2043,0.0,0,https://place.map.kakao.com/14091740#review,,,,4.3,리뷰 9개,https://goo.gl/maps/wRRwFzQqjRmZj6PQ6,128.95416031511616,35.17955786068903
17,옛날통닭과한방족발,부산광역시 강서구 대저2동 2013-1 1층일부호,강서구,대저2동,호프/통닭,051 973 1867,378174.5314,188436.5071,,,,,,,,,,128.95383762458852,35.179349518871646
18,웰빙떡볶이,부산광역시 강서구 대저2동 2015-2번지,강서구,대저2동,분식,,378108.5178,188491.7391,5.0,0,https://place.map.kakao.com/1983113699#review,4.48,22,https://m.place.naver.com/share?id=1128808253&tabsPath=%2Fhome&appMode=detail,,,,128.95312524668677,35.17985875650561
19,포스 펍,부산광역시 강서구 대저2동 2016-1번지,강서구,대저2동,호프/통닭,051 831 6680,378132.9499,188493.045,0.0,0,https://place.map.kakao.com/36242158#review,,,,,,,128.9533935957578,35.17986619295989
20,명성튀김,부산광역시 강서구 대저2동 2016-3번지,강서구,대저2동,분식,,378153.454,188483.057,0.0,0,https://place.map.kakao.com/1962074008#review,4.4,10,https://m.place.naver.com/share?id=1004123959&tabsPath=%2Fhome&appMode=detail,,,,128.95361641022123,35.1797725863495
21,대패집입니다,부산광역시 강서구 대저2동 2026-3번지,강서구,대저2동,통닭(치킨),051 972 9298,378038.8784,188509.2887,5.0,0,https://place.map.kakao.com/27489347#review,4.45,32,https://m.place.naver.com/share?id=37601180&tabsPath=%2Fhome&appMode=detail,4.8,리뷰 12개,https://goo.gl/maps/RKb6iMjXchiZxoc66,128.95236495190233,35.18002917921471
22,김해공항본까스델리&설빙,부산광역시 강서구 대저2동 2350-1번지 김해공항 국제선 격리 2층,강서구,대저2동,분식,051 974 0025,377286.9745,187706.9814,0.0,3,https://place.map.kakao.com/27235437#review,,,,,,,128.94394282091156,35.17293458165577
23,국수나무한상(김해공항점),"부산광역시 강서구 대저2동 2779-1번지 국내선, 1층",강서구,대저2동,분식,051 973 9515,377543.3507,187360.7515,,,,4.19,977,https://m.place.naver.com/share?id=1252266960&tabsPath=%2Fhome&appMode=detail,,,,128.94668111809875,35.169770419021425
24,용우동,부산광역시 강서구 대저2동 3150-4번지,강서구,대저2동,분식,051 941 0305,378066.9657,187075.7137,1.7,1,https://place.map.kakao.com/20684208#review,,,,3.5,리뷰 2개,https://goo.gl/maps/vvJQdJReggzujrBz5,128.95236404794684,35.16711017484456
25,토스트 먹는 여우,부산광역시 강서구 대저2동 3153-1번지 지원시설가동 105호,강서구,대저2동,분식,051 753 0507,378260.6686,186989.3854,,,,4.38,139,https://m.place.naver.com/share?id=1487084360&tabsPath=%2Fhome&appMode=detail,,,,128.95447038440827,35.166298205247976
26,종국이두마리치킨,부산광역시 강서구 대저2동 4416-3번지 1층,강서구,대저2동,호프/통닭,051 973 5588,377861.7,185346.453,,,,,,,,,,128.9497400990541,35.15156877361792
27,161맥도,부산광역시 강서구 대저2동 6155-3번지 A동,강서구,대저2동,호프/통닭,,377007.0924,183004.1941,,,,4.32,48,https://m.place.naver.com/share?id=1888842318&tabsPath=%2Fhome&appMode=detail,,,,128.93986541232852,35.13061943130333
28,서리의골목식당,부산광역시 강서구 동선동 1061-5번지 1층일부,강서구,동선동,분식,,367185.9529,174453.3387,5.0,0,https://place.map.kakao.com/1958459449#review,,,,,,,128.83044396020802,35.055262299684486
29,1호선치킨,부산광역시 강서구 동선동 1061-6번지,강서구,동선동,호프/통닭,051 972 4601,367173.883,174437.9772,5.0,1,https://place.map.kakao.com/2038852097#review,4.66,25,https://m.place.naver.com/share?id=1916897713&tabsPath=%2Fhome&appMode=detail,3.5,리뷰 4개,https://goo.gl/maps/xUB7fKp6SCXkJBhL9,128.83030863086827,35.05512590397666
30,노가리앤비어,부산광역시 강서구 명지동 1082-7번지,강서구,명지동,호프/통닭,,375144.2654,180277.401,0.0,1,https://place.map.kakao.com/1793465992#review,,,,,,,128.91886190075823,35.106380600517014
31,해운대31cm 해물칼국수 명지점,부산광역시 강서구 명지동 1670-3,강서구,명지동,호프/통닭,051 208 8289,375080.0,179319.0,5.0,6,https://place.map.kakao.com/42147183#review,4.51,155,https://m.place.naver.com/share?id=1322126008&tabsPath=%2Fhome&appMode=detail,,,,128.9179549535366,35.09775794664468
32,수미가칼국수,부산광역시 강서구 명지동 232-3,강서구,명지동,분식,051 2713352,375343.0446,180860.9923,4.0,12,https://place.map.kakao.com/21337806#review,,,,,,,128.9211644797038,35.111603357433886
33,월드치킨,부산광역시 강서구 명지동 3205-7번지,강서구,명지동,통닭(치킨),051 271 2300,376030.0222,180651.1028,0.0,0,https://place.map.kakao.com/9958959#review,,,,,,,128.92865118640424,35.109592855830165
34,행복한꽈배기,부산광역시 강서구 명지동 3211-6번지,강서구,명지동,통닭(치킨),051 271 2028,375987.773,180562.1597,0.0,1,https://place.map.kakao.com/554092736#review,,,,,,,128.92816913026056,35.108798987563056
35,티바 두마리 치킨,부산광역시 강서구 명지동 3229-27,강서구,명지동,통닭(치킨),051 271 2231,373452.4423,178225.6007,3.7,0,https://place.map.kakao.com/15582422#review,,,,5.0,리뷰 1개,https://goo.gl/maps/vmRyxJB9xwEWPHew9,128.8998862041022,35.08818906006077
36,네네치킨 명지점,부산광역시 강서구 명지동 3229-28번지 A동,강서구,명지동,통닭(치킨),051 204 4492,373470.2852,178225.9613,3.0,1,https://place.map.kakao.com/16242016#review,,,,,,,128.90008183745283,35.088189241278336
37,치킨더홈명지점,부산광역시 강서구 명지동 3229-29 103호,강서구,명지동,호프/통닭,051 207 9978,373490.4553,178226.5681,5.0,3,https://place.map.kakao.com/904009200#review,,,,,,,128.9003030283637,35.088191239990586
38,통독상회 6호점,부산광역시 강서구 명지동 3231 영어도시 퀸덤1차 상가222동 254호,강서구,명지동,호프/통닭,051 203 3040,373002.1416,177917.6231,0.0,0,https://place.map.kakao.com/801519215#review,4.5,105,https://m.place.naver.com/share?id=1406296986&tabsPath=%2Fhome&appMode=detail,,,,128.89488666862604,35.08549188587188
39,바삭클라스,부산광역시 강서구 명지동 3231 영어도시 퀸덤1차 상가동 211호,강서구,명지동,호프/통닭,051 204 8252,373002.1416,177917.6231,0.0,0,https://place.map.kakao.com/44426985#review,4.44,27,https://m.place.naver.com/share?id=1065533215&tabsPath=%2Fhome&appMode=detail,,,,128.89488666862604,35.08549188587188
40,옛날통닭,부산광역시 강서구 명지동 3231번지 영어도시 퀸덤1차 266호,강서구,명지동,호프/통닭,070 88851127,373002.1416,177917.6231,0.0,0,https://place.map.kakao.com/1991174144#review,,,,,,,128.89488666862604,35.08549188587188
41,비쎄븐비어(B7 Beer),부산광역시 강서구 명지동 3231번지 영어도시 퀸덤1차 상가(222)동 208호,강서구,명지동,호프/통닭,,373002.1416,177917.6231,,,,,,,,,,128.89488666862604,35.08549188587188
42,맥주여행,부산광역시 강서구 명지동 3231번지 영어도시 퀸덤1차 상가동 217호,강서구,명지동,호프/통닭,,373002.1416,177917.6231,4.0,1,https://place.map.kakao.com/680456035#review,,,,,,,128.89488666862604,35.08549188587188
43,감탄 오션시티점,부산광역시 강서구 명지동 3231번지 퀸덤1차링컨타운상가동 255호,강서구,명지동,분식,051 260 8155,373002.1416,177917.6231,2.7,1,https://place.map.kakao.com/11835741#review,4.55,209,https://m.place.naver.com/share?id=13579170&tabsPath=%2Fhome&appMode=detail,3.0,리뷰 1개,https://goo.gl/maps/oECzyU5mrpftKGCB9,128.89488666862604,35.08549188587188
44,정가집,부산광역시 강서구 명지동 3232 영어도시 퀸덤1차 323동 301-1호,강서구,명지동,분식,051 203 5790,373368.8681,177936.6064,0.0,0,https://place.map.kakao.com/2006113471#review,,,,,,,128.898909826847,35.085599964360405
